id,make,model,year,vin_number,number_of_seats,car_type_name,licenseplate_number
1323,Audi,90,1990,2G61N5S31F9945535,3,D,LQZVVEQKG
1324,Lincoln,MKX,2010,1D7RV1CT9BS866300,5,B,HZBHKYEXX
1325,Porsche,Cayenne,2013,WBSDX9C54DE884471,7,E,FRI6PNNW7
1326,Ferrari,,2008,5FNYF3H42EB418773,2,C,HLCA46HSI
1327,Chrysler,Sebring,2000,2T1BU4EE6DC652903,8,E,SH3J0QOJY
1328,Chevrolet,Corvette,2010,ZFBCFAAH7EZ016479,2,A,GCCDV2ELV
1329,Isuzu,Hombre,2000,1ZVBP8AM7C5098906,4,C,PKL53SHTI
1330,Chevrolet,Camaro,1975,WAUKF98EX5A087710,8,D,EG54TIZI4
1331,Mitsubishi,Montero,2004,1N6AA0CC6BN549938,2,D,NOMIFDXK9
1332,Mercury,Cougar,1991,5TFAW5F12EX749557,5,E,XIDZN9NDP
1333,Lexus,SC,2009,1ZVBP8ANXA5588472,3,B,OXM5UNPI3
1334,,Montero Sport,2001,3N1AB7AP2FL786112,3,A,KKQEARUEE
1335,Cadillac,CTS,2010,1GT3C0BG4AF403931,4,E,KPZ603RPQ
1336,Chevrolet,,2006,WBADX1C52BE858275,3,A,JH06D2YAZ
1337,Mercury,,1984,1G6DV57V280259993,9,C,NZJ346QEE
1338,Ferrari,F430,2007,3GYFK66NX4G491344,9,C,CW52TQQMQ
1339,Ford,F350,1992,WDDEJ7EB3BA787700,9,B,YS8XQXPO4
1340,Chevrolet,Express 2500,2000,WAUKG78E26A986502,8,C,HX819KSVB
1341,Buick,Roadmaster,1993,1N6AF0LX6FN766917,2,C,PO3LRNXCA
1342,Hyundai,Accent,1996,1GYS4HEF8BR023592,5,E,MVAOOUUZ7
1343,Aston Martin,DBS,2008,1FTSX2A5XAE025483,1,E,SCPM19ND7
1344,Lincoln,LS,2000,3C6TD4MT3CG353160,8,B,GGUES2WHC
1345,BMW,X5,2010,1N6AA0ED3FN235045,7,B,ATTY29XWO
1346,Lexus,,2004,SALVP2BG2FH565506,9,C,IXO38OQW7
1347,Ford,,2013,3VW517AT1FM201641,3,A,BO99H3PW9
1348,Ford,Ranger,2001,WDDHF0EB1FB555876,7,D,OVV9UVOEP
1349,BMW,Z8,2001,19UUA76598A928990,4,B,ADYGMKYDS
1350,Dodge,Dakota,2011,YV426MDA2F2382527,3,A,GUPXPQPJ9
1351,Mercury,Topaz,1990,1C4RDHAG6DC146560,8,C,FLYHQAMC9
1352,Eagle,,1994,1FTSW3B50AE252947,6,A,XWHB94VQN
1353,Cadillac,Fleetwood,1954,5FNYF3H37FB032326,4,D,FY4JIXVZW
1354,Ford,Mustang,2002,KNDJT2A51D7744513,9,D,HHVXY9TCF
1355,BMW,5 Series,2009,1G6AC1RX3F0015895,1,E,ZDBYQJFFR
1356,Volvo,C70,2010,3D7JB1EK0BG072576,5,C,TE7XBKWLL
1357,Cadillac,STS-V,2006,WBADR63443G140456,3,B,CLTBI8QN8
1358,Nissan,Quest,1994,1GKS2FEJ7DR761847,7,D,TQSI5KDDD
1359,Jeep,,2005,WBAPT73539C691555,1,D,MKKAF8GQK
1360,Chrysler,Concorde,1994,WAUAFAFH3EN149905,4,C,EKHZ0TKAA
1361,Mercedes-Benz,CLK-Class,2007,JM1NC2PF3F0914920,2,B,AA719GZEA
1362,Toyota,Avalon,2002,1GYS3FEJ3BR873383,9,B,MWBAHSRDX
1363,Audi,S6,2010,WAULT54B64N895187,5,C,EV5OBETH8
1364,GMC,Envoy,2005,WUAAU34248N239915,3,E,BUJ02JUM3
1365,Bentley,Continental GTC,2008,1FTSX2B52AE659269,7,C,ZO7TFRCBV
1366,Jeep,Grand Cherokee,2006,KNALW4D41F6766418,7,B,YI6LU1EY7
1367,Toyota,Solara,2007,JN8AZ1MU1CW586291,6,C,NCXFQZDKU
1368,Nissan,Quest,2008,3D73M4HL6AG555593,1,B,DEOY8BNCC
1369,Mercedes-Benz,CLK-Class,2001,5UXZV8C55D0002118,5,D,MD497UHHH
1370,Chevrolet,Caprice,1995,3N1CN7AP2EK244755,9,E,QOKMGUCN5
1371,Audi,,1986,1G6DH577890136130,4,E,XW9RVHUCC
1372,Isuzu,Oasis,1998,WAUAF98E26A453222,5,C,JBJHT2RAZ
1373,Volvo,C70,1999,WBA5B1C55FG505039,5,C,JURTWKVFB
1374,Mazda,MX-6,1993,1FMEU5BE0AU798180,6,C,FMJ1KFQA3
1375,Mitsubishi,Diamante,2005,1G6DP8ED9B0173710,4,E,ANBQ5QXOD
1376,Pontiac,Turbo Firefly,1988,1J4RR4GG7BC194898,6,A,YYE95GOP2
1377,Mitsubishi,Lancer Evolution,2002,WDBWK5EA7AF043010,1,B,RX2JDWYOV
1378,Honda,Civic,2001,WBSCL93461L394670,5,D,JDHNE5CRO
1379,Toyota,Sienna,2011,WBANU5C57AC442754,1,E,DH9HC2SVD
1380,Pontiac,Solstice,2009,JM1NC2EF8A0512015,3,E,YGSIJFYDW
1381,Pontiac,Grand Prix,1967,WAUEF78E36A296676,4,E,GJQ4SPTJT
1382,Mazda,929,1990,5N1AA0NE6FN769941,7,A,LBG929JCU
1383,Volvo,V70,2010,2G4GR5EK8C9662507,4,B,GUR8IUYVH
1384,Dodge,Ram 2500,2002,1N6AF0KY8FN219822,3,C,UUGPCTDG9
1385,,LTD Crown Victoria,1986,WA1LGBFEXBD561335,4,D,XA5J9OFQ9
1386,Land Rover,Range Rover,1994,WA1BY94L18D635902,5,A,QTHOVPUQ5
1387,Kia,Sephia,1996,1G6KD57Y89U332637,1,C,JFK2J5PV4
1388,Chevrolet,Monte Carlo,1995,YV4902NC7F1492385,3,A,FJIJGCMQE
1389,Volkswagen,Scirocco,1985,1FTWF3A51AE577772,3,D,GIFPS2ZXT
1390,Honda,Pilot,2005,1FMJK1JT9FE254369,1,D,LPO1NTJQB
1391,Nissan,Xterra,2012,KMHGN4JE1FU895917,5,D,SN21OBUQ6
1392,Cadillac,DeVille,2003,1G6KA5E6XBU579545,8,A,UL6ILTIN2
1393,GMC,Envoy XL,2006,2C3CCAKG2FH284986,8,D,CSCSCSHDT
1394,Mitsubishi,Chariot,1994,WBADW7C56DE350125,8,C,FWWWQWNEQ
1395,Chevrolet,Express 3500,2010,WAUMR94E18N327360,9,C,MOA88LNX0
1396,Suzuki,Reno,2006,YV4902DZ4B2605123,2,A,LXTA0OXMZ
1397,Infiniti,M,2009,JN8BS1MW6DM556971,5,D,CJ2968DXL
1398,Ford,F350,2002,5GAKVCKD6EJ041148,3,B,JXO5UWSSJ
1399,Infiniti,QX,2003,WBAPL5G57BN818090,7,B,NO8CVWDUR
1400,Mercedes-Benz,C-Class,1999,WBAWL1C56AP440079,5,B,FSMCHLBMA
1401,Mazda,Miata MX-5,2008,WA1LYBFEXAD194836,5,D,JKK6FTDQ5
1402,Jeep,Wrangler,2002,2C3CDXDT7DH390129,6,D,NG0K01NZ7
1403,Land Rover,Range Rover,2010,WBAWV5C56AP580845,8,E,BSAUG4IBA
1404,Volkswagen,Golf,1990,WA1LMAFE1FD647643,3,B,ROTWSHEW7
1405,Chevrolet,Corvette,1987,WDDHF2EB4DA070002,5,E,TXBG58WQQ
1406,Mercedes-Benz,600SEC,1993,19VDE1F38DE409976,1,A,UURH72THH
1407,Mazda,Miata MX-5,2005,5N1AN0NW3EN320311,5,B,TVVX08ILT
1408,Dodge,Durango,2002,1C4PJLAB7EW264124,6,B,PGMSEBBYO
1409,Nissan,Armada,2006,WAUAT48H64K855306,8,D,RZ5HFRHLS
1410,Hyundai,Genesis,2011,3D7TT2CT6AG376260,3,A,VAQRTVYGL
1411,Chevrolet,Cruze,2013,3D7TT2CT4BG712098,2,E,ZIUZQVQCJ
1412,Mercury,Mariner,2006,4T1BF1FK6EU689530,7,E,XZWWNQJDS
1413,Mitsubishi,Challenger,1998,JH4CU2F42CC967024,6,E,YMUZ4JSLR
1414,Hyundai,Santa Fe,2001,WAUEH98E07A752687,6,B,JVWDIKALM
1415,,Taurus,2004,2G4GT5GR7C9211046,1,A,TC6WCLCRJ
1416,Cadillac,Seville,2001,WBALM5C50BE148688,1,C,WRGW0VRP9
1417,Mitsubishi,Precis,1990,WBADW7C54CE978876,1,D,SEDZYLIC8
1418,Eagle,Summit,1993,WBAPL5C59BA272437,7,B,MSXUX3GHC
1419,Toyota,Corolla,1992,WAUPEAFM7CA129638,1,C,BGK5HGNGU
1420,Dodge,Nitro,2007,1G6DK1E30D0894384,4,A,MJDO0ANXN
1421,Kia,Sedona,2007,JA4AS2AWXDU915136,8,C,EBIK7PWB5
1422,Ford,Flex,2012,2C4RVAAG7CR626536,7,E,JHYBAKODD
1423,Acura,TSX,2004,5N1CR2MM4EC415173,5,C,YTG5XRRYR
1424,Mercedes-Benz,W201,1989,3GYFNBE32CS374157,1,E,KA9LH0TPJ
1425,Acura,TSX,2010,JH4NA21645S911931,4,D,GM40EGLCU
1426,Mazda,MX-5,2001,1G6DK67V480143385,8,E,CJT40OAXP
1427,Hyundai,Sonata,2003,1G6KD57Y55U899141,6,C,NMV4MXVC6
1428,Hyundai,Elantra,2013,JH4CU2E82EC941479,9,A,IP2VT7SQK
1429,Oldsmobile,Silhouette,1992,JN1AZ4EH5EM225825,2,D,MHCBK4LHI
1430,Acura,NSX,1997,WAUZL64B41N768207,5,C,EF6W1APJ8
1431,Subaru,Outback,2006,19UUA66244A290576,6,C,ZQB8H2ZOM
1432,Dodge,D250 Club,1993,SCFAB02A37G695534,7,D,YOX2NFMYJ
1433,Mercury,,2001,KMHTC6AD0CU071524,1,C,MEU5GZDN2
1434,Dodge,Grand Caravan,2007,1GYS3DEF8BR213288,9,D,DM578BTJ8
1435,Mitsubishi,Mirage,1989,2C3CDXJGXEH380753,3,A,TNV3Z6MCU
1436,Dodge,Grand Caravan,2007,YV1672MC3BJ823695,9,B,TC0A99SEP
1437,GMC,1500 Club Coupe,1992,1FTEX1E80AK801715,9,C,MIXER8DT7
1438,Ford,Taurus,2008,1FTEW1C86AK875372,1,C,OO4SZERIS
1439,Toyota,Paseo,1994,WAUVT68E33A289516,1,A,TQ8OQALR0
1440,Infiniti,FX,2011,JN8AZ1MU3AW615948,6,C,NN5V7GGMV
1441,Dodge,Ram 3500,2008,WA1CMBFP2FA743015,4,C,BV3GXFAHX
1442,,Tercel,1992,3LN6L2G92DR829512,5,C,EWMLPOWTS
1443,Chevrolet,Silverado,1999,1G6KS54Y94U595335,7,E,LJPFMSSJ3
1444,Ford,Mustang,1988,WA1WMBFE1AD447597,9,A,XIOMYHGWY
1445,Pontiac,Grand Prix,1977,2T2BK1BA3FC517186,1,D,LWR0F5QK3
1446,Cadillac,SRX,2005,1N6AD0CWXEN213182,7,D,GQE7XIAOM
1447,BMW,8 Series,1992,ZFBCFACH1FZ028335,5,D,MMMWT6GU0
1448,Dodge,Ram 3500,2000,WA1CMAFE9AD402520,2,D,JEE373BPE
1449,Isuzu,Rodeo,1999,3MZBM1L74EM616569,4,B,HOA1R9TRX
1450,Land Rover,Freelander,2001,WAUKH98E46A927864,9,D,QE3LE9SO1
1451,,Reatta,1991,1G4HJ5EM3BU785730,9,A,JKOLTGLH3
1452,Pontiac,Grand Prix,1994,WBAAZ334X3K050002,8,A,NTOWT3KT6
1453,Nissan,Sentra,2011,5GAKVBED9CJ865552,6,A,BXQTVTRTZ
1454,Mercedes-Benz,E-Class,2009,5FNYF3H22AB217142,3,D,HW5NKOETH
1455,Daewoo,Lanos,2002,WBABN534X2P648040,7,A,ZHLRI7WP5
1456,BMW,M,2000,3D7LT2ET8AG536507,8,D,OYLHA6LRY
1457,Alfa Romeo,164,1995,3C3CFFCR7FT639260,4,A,PJ0N9IAHS
1458,Toyota,Sienna,2010,3N1CE2CP2EL969816,6,E,ZPGI6XXKK
1459,Volkswagen,Type 2,1987,WBA3D5C51EF272824,2,E,UJCEBSJJ4
1460,GMC,Yukon XL 2500,2005,5NPDH4AE7FH769182,6,C,WZQH15SV0
1461,Mazda,RX-8,2008,1FTEW1CM6CK216370,8,A,OS11BSKU8
1462,Isuzu,Stylus,1992,5N1AA0ND4EN571395,5,B,IP98OAETC
1463,Nissan,Quest,2011,1FTDS3EL9AD826613,5,D,OMW2UNKWP
1464,Toyota,,1995,JN8AE2KP5F9395443,6,D,NJG430EA4
1465,Dodge,Neon,2003,WP0AB2A92FS705757,6,D,TD3FFVQBY
1466,Ford,Escort,1996,WAUDFAFL6DA885602,4,E,CDAWZYISI
1467,Ford,Laser,1985,YV4952CT4E1273368,2,C,MZ2JDHXS0
1468,Ford,F350,1995,JN8AZ2KR3AT501597,3,B,UIV3PXCHW
1469,Lamborghini,Murciélago,2004,2C3CCAPG8DH047571,3,E,HSVXWGVSD
1470,BMW,7 Series,2002,WBAVD13596K086197,5,B,PEK2GDOA5
1471,,Breeze,1998,JN8AF5MR3CT851614,3,C,FN28VGZYG
1472,Nissan,Altima,1999,WAUJT64B03N051271,9,B,YIJUAGRIT
1473,,Regal,1986,WBA3C3C51EK604517,2,C,PJE830JZ6
1474,Mazda,MPV,1991,WAULT58E33A432658,9,B,VBXVZ3BCT
1475,Mitsubishi,Mighty Max,1993,1GYFK43519R235321,5,E,OSVO42MN3
1476,,Durango,1999,SALFR2BN6BH757504,4,D,ICCX02SGG
1477,Volkswagen,rio,1996,5N1AA0NDXEN569330,8,D,PUAW5XYDX
1478,Scion,xA,2005,WBAWC3C50AP667800,8,B,HXRH8CTZW
1479,Dodge,D150 Club,1993,WAUDC68DX1A106323,5,E,RAZE8THKE
1480,Ford,Explorer,2000,WBAKB8C50AC362545,7,C,JGL12HWIT
1481,Mitsubishi,Montero,2005,2C3CCAGG3EH789989,8,D,IP3QYIWE5
1482,Dodge,,1978,1G6KA5EY7AU522400,7,E,WD4X4KSLM
1483,Land Rover,Freelander,2003,2B3CJ4DG9BH807724,4,D,CMLB2CEFH
1484,Lexus,LS,1999,JHMFA3F24BS629106,8,A,XLXWABDUP
1485,Chrysler,New Yorker,1994,5NPDH4AE2BH103566,8,A,ZAAX7NIVC
1486,Lexus,HS,2012,WBA3B9C51EF970718,3,D,LPCTKUOM7
1487,Infiniti,M,2003,1ZVBP8AM9D5733688,8,D,EQZKMKAGO
1488,Chevrolet,Metro,1999,WAURV78T49A752496,5,C,FI5EN0AK8
1489,Lincoln,MKS,2011,3D7TP2HT6AG652305,6,D,DCD2JBBWD
1490,,Thunderbird,1996,KNAFZ6A31F5500253,5,A,SZHIS1YD4
1491,Ford,E150,2012,1G6DV1EP9F0440289,9,A,AU2P0YFUU
1492,Audi,S6,1995,WBAEV53412K311914,6,B,DXCGS3GEC
1493,,Roadmaster,1994,WAUMF78K09A544811,3,D,GMPI6ZNGK
1494,Mercedes-Benz,CL-Class,2002,KMHTC6AD0DU241897,2,B,QWRKENXDB
1495,Chevrolet,Prizm,2002,W04GT5GC0B1545996,7,E,WAN8X3LDY
1496,Chevrolet,Camaro,2012,JN8AE2KPXF9466216,1,B,XW06Z9HHM
1497,Saturn,VUE,2008,WBA3G7C58FK631517,8,E,PGH0FZOUG
1498,Nissan,Sentra,2010,5GADX23L85D059393,5,C,RCCMK2KOF
1499,Chevrolet,Tracker,2000,WBAUP7C5XAV268360,6,E,PS2D8RRJC
1500,Jaguar,XJ Series,1993,WAUBGAFB5AN552260,8,E,BR3MTCOCV
1501,Mercedes-Benz,S-Class,1998,WBADN53431G289881,5,D,DS0ADPFIX
1502,Ford,Econoline E150,2001,1FMJU1H50AE123017,2,B,HP5UX7CER
1503,Mercedes-Benz,SL-Class,1999,4T1BK1EB5FU415931,8,A,XNBC2FCK0
1504,Mazda,CX-9,2012,WAUVC58E75A908034,2,A,GRUPYOED9
1505,Mazda,MX-6,1992,5LMJJ2H53BE715379,8,A,HZ7RR9YLW
1506,Lexus,SC,1993,WAUWFBFL4AA891781,3,B,CLVW1JCTW
1507,Chevrolet,,1987,JM1NC2JF3F0081256,8,D,PXTPRXFP6
1508,Toyota,Camry,1994,JN1AY1APXDM874789,9,C,RSWORLRQV
1509,Jeep,,2003,1FTEW1C8XFK687042,6,D,UIEY84BDA
1510,Cadillac,SRX,2010,WAUCFAFR7FA237334,1,E,IUXG84NVQ
1511,Volvo,C70,2004,2C4JRGAG4DR164944,2,E,UKN5KDZWG
1512,Hyundai,Entourage,2009,3C63D3HL4CG248440,4,E,TO6KH1SAC
1513,Suzuki,Vitara,2001,1VWAP7A33EC591090,8,B,TS2CM1QM4
1514,GMC,Sierra 2500,2011,WAUFEAFM4BA703655,1,E,HXUFF6UWB
1515,Lexus,LS,2003,YV1902MD8F1855770,3,B,UE6I4ZRFM
1516,GMC,Savana Cargo Van,2006,1FTMF1EW5AK741699,7,B,UDLD2ZNFE
1517,Kia,Optima,2006,WA1DGBFE0DD918769,4,A,MN51ICRTJ
1518,Mitsubishi,Lancer,2008,1G4HD5EM4AU392793,8,C,GIRO5TEKT
1519,Lexus,CT,2011,JN8AS5MT9BW422966,8,D,PJFVHZDF9
1520,Ford,F-Series Super Duty,2007,WBABN33433P756988,5,A,WJY8CFFZB
1521,Land Rover,Range Rover,1988,1G6DJ8EDXB0504120,1,D,YKIMO3YYN
1522,Suzuki,Swift,2004,WAUBF78E78A693295,7,A,NRSYSSGCH
1523,GMC,Savana,2006,WAUHF98P28A316610,5,A,ZF29EOEO0
1524,Nissan,Pathfinder,1995,WBA3C3C5XDF509381,8,E,AFD2MMED5
1525,Mercury,Cougar,1968,WDDHF5KB4EA736668,1,B,JRINXIJA8
1526,BMW,5 Series,1998,1N6BF0KX2FN959250,4,D,OKO3SOFL7
1527,GMC,Yukon,2008,1G6DS5EV4A0433273,5,D,HEX1LYZWC
1528,Honda,Civic,1990,1D7RB1GT8AS911888,6,D,SROKOUURM
1529,GMC,Yukon XL 2500,2005,2HNYD18614H384291,6,D,HF99VBZXP
1530,Dodge,Viper,2002,19UYA42493A439995,2,E,PY0K68ES5
1531,Volvo,S60,2007,JN1AJ0HP0BM785489,3,A,SL2F1MVH4
1532,Chrysler,LeBaron,1995,WAULT58E03A985462,4,C,CNH0CFLRR
1533,Ford,Excursion,2000,3C63DPBL6CG046991,6,E,YGQBMCOD8
1534,Ford,Contour,2000,1G6AG5RX7D0863190,4,B,BRTUI0UW8
1535,Mitsubishi,Diamante,2002,WBA3B9C57FP587202,3,B,MWLRIISGI
1536,Saab,9000,1994,5NPDH4AE0DH352662,1,A,KB1P7QEGK
1537,Pontiac,Firefly,1994,WAUR2AFD3EN169583,4,C,TSOX2EPO2
1538,Ford,Mustang,1966,19VDE1F55FE967210,8,E,ML5WJTRJQ
1539,Cadillac,CTS-V,2012,JM3TB2BA5C0573948,2,B,DNP3BGVO1
1540,Mercury,Grand Marquis,2010,1GYS3GEF0DR064122,7,D,PKM7VZLA3
1541,Cadillac,CTS,2008,3D7JV1EP4BG023058,2,E,DZM3Y9BGW
1542,Mercedes-Benz,S-Class,1985,3N6CM0KN0EK762090,7,D,MDJOS1UBA
1543,Chevrolet,Suburban 2500,2004,WVGAV7AX3CW463676,1,D,GO186RAWL
1544,Mazda,B-Series Plus,1993,WP1AB2A27FL393427,3,B,OMWKI5VY5
1545,Hyundai,Genesis Coupe,2011,1G6DF8E59C0597465,5,E,RVU5BFPHW
1546,Dodge,Ram,2008,NM0KS6BN3AT362223,2,C,GA4SWOVE9
1547,Chevrolet,G-Series G30,1993,WA1LFAFP5CA564614,9,D,RCIWYHCVQ
1548,Acura,TSX,2006,WAUEFBFL4EN437282,9,B,OOT25AKVF
1549,Dodge,Durango,2000,JM1NC2EF7A0321346,5,D,YBIH3TUK3
1550,Jeep,Compass,2010,1N4AL2AP9BN633451,3,D,UP1I2LREO
1551,Chevrolet,G-Series G30,1992,WAUJT64B83N148685,1,A,AS3OUEJQ4
1552,Saturn,Ion,2004,3D7TP2CTXBG275714,1,D,MV45DWEII
1553,Chevrolet,Astro,2004,JTDKDTB39D1038932,1,E,XB55DPLOT
1554,BMW,Z4,2010,1C4AJWAG9DL779662,6,C,LC448DKVI
1555,Jaguar,,2004,5YMKT6C51F0813485,4,B,RDH27EULK
1556,Hyundai,Sonata,2012,1GYS3LKJ7FR452291,2,B,BGS35FAAB
1557,Honda,,1990,5N1BA0NC7FN318729,4,D,VD4QHLRSD
1558,Toyota,Paseo,1993,4T1BD1FK7EU405800,9,C,DEUBKSXAT
1559,Pontiac,Grand Prix,1971,2C3CDXCT0EH680330,4,E,BMVU9KPR7
1560,Chevrolet,,1999,19UYA42413A177096,6,B,VPZDXAIQ5
1561,Ford,Explorer,2013,WAUSFAFL7BA302457,3,D,GPZ4LYKRW
1562,BMW,745,2005,WAUVT64B73N091963,2,C,ZO2H0MBOX
1563,Infiniti,G37,2012,SALWR2TF6FA557888,5,E,UJI5SQUAU
1564,Ford,Festiva,1990,1FTMF1E80AF844149,2,B,BS97U9CP2
1565,Pontiac,,1985,1GYS4DEF4CR610432,2,E,PVBICPCGU
1566,Suzuki,XL7,2006,WBA4B1C57FG529127,9,B,MZ2OZ8FX7
1567,Mazda,MX-6,1988,WVGAV7AXXFW893810,1,A,QGFO70FQO
1568,BMW,530,2001,2C4RDGCG8DR107015,8,E,TU1MLSCWW
1569,Ford,F150,1997,WVGAV7AX0AW708950,2,E,VIUUJOHX9
1570,Dodge,Neon,2000,137FA90351E140641,2,E,KKOO9GXNF
1571,Volvo,C70,2011,JHMZF1D65ES462431,1,B,OH6X6GWXA
1572,Dodge,Shadow,1993,KMHCM3AC1BU507461,3,A,PPZLHMDMH
1573,Oldsmobile,Achieva,1992,1GYEE437180890232,3,B,OPG5WLQL7
1574,Dodge,Neon,1998,1GYS4NKJ1FR861993,8,E,ZC855PWRF
1575,Pontiac,Grand Prix,1981,WBAHN83566D320920,9,B,XFPBOEQV4
1576,Dodge,Viper,2001,1GKS1AE07CR257150,7,D,SE8KUNEJP
1577,Audi,A4,2006,WAUKGBFB2AN509890,8,C,APSN4VJQP
1578,Dodge,Ram Van B250,1994,1YVHZ8BH0A5735571,6,A,FSP657UK7
1579,Lotus,Elan,1991,1GKKRNED8BJ416242,5,D,HTOE7GLD2
1580,Chevrolet,Cavalier,1993,WBA3C1C50CF596419,4,D,QYIXNNBAA
1581,Mitsubishi,Challenger,2001,JH4NA12603T016579,1,D,IG0R6DTEL
1582,Suzuki,Swift,1994,WBAEW53474P186923,9,D,LFQBQ3QLL
1583,Saturn,L-Series,2003,1FTEW1C87FK084291,8,B,WG1OAKWMZ
1584,BMW,3 Series,2012,4T1BF3EK7AU960974,8,D,ZINVWWIW5
1585,Nissan,Maxima,1992,JM1NC2JF5D0238718,5,B,MY8UAJAKQ
1586,Pontiac,Firefly,1995,JH4CU2E88DC069484,5,D,ZPNGJLDTU
1587,Mitsubishi,Truck,1990,2HNYD2H27AH923897,1,D,KNACW3JCT
1588,Chevrolet,Tahoe,2006,1N4AB7AP9DN261967,8,C,WB3X9PFTN
1589,Cadillac,Eldorado,1997,1D7RB1CT0BS692853,5,D,NX44Y3NSA
1590,Mercury,Sable,1989,3N1CE2CP9FL836147,6,E,UO8I1PCZY
1591,Audi,,2003,WBASP2C50DC352150,2,C,JNZKBOIT7
1592,BMW,M5,2000,WAULFAFH0BN179870,4,E,LJKVT5HQF
1593,Chrysler,Prowler,2001,WAUFFAFC6EN799936,9,A,BFEGTTEWU
1594,Mitsubishi,Eclipse,1989,YV1672MK9D2294421,2,C,DKCOQQCOO
1595,Dodge,D150 Club,1993,SAJWA4GB3EL469175,2,B,TPSZ7KLEC
1596,Mercedes-Benz,M-Class,2010,JA4AP3AU1BZ855026,1,A,SCVK3VDNA
1597,Nissan,Rogue,2010,3GYFNGE3XCS280332,6,B,AXYMEPBWF
1598,Ford,Escort,1987,1C3ADEAZ4DV976038,6,C,YAM581WCD
1599,BMW,530,2006,WAUSG78E56A251500,8,D,XKGU6TBMN
1600,Isuzu,Space,1994,1FTEW1CM3DK285745,3,E,LN60GZTKF
1601,Ford,Aerostar,1997,5UXFA13545L001757,9,D,GRDOSJXK5
1602,Ford,Club Wagon,1996,1GYS3DEF2DR509314,6,D,STG37QBOP
1603,Panoz,Esperante,2005,JN1AZ4EH3FM365826,3,A,DJX3TFWQT
1604,Porsche,928,1988,WBAUL7C52AV217205,4,A,WUIBL2DHY
1605,Mercury,,1994,1G6D25ED5B0642384,9,A,LLNTKFQPA
1606,Suzuki,Swift,1993,2HKRM3H57DH914204,2,C,ZB1U1VZV0
1607,GMC,Yukon,1995,WAUHF78P59A709426,3,E,AXLQUJHMZ
1608,Toyota,Camry Hybrid,2008,WAUVC68E75A915670,8,D,RAP73MBTJ
1609,Mercury,Villager,1994,1FTEW1CM5DF855530,5,A,DT8IM7VDX
1610,BMW,Z4,2010,2T2BC1BA3FC609184,3,E,FEKK1XLDB
1611,Ford,Probe,1990,5N1AN0NU9FN781089,8,E,FE77BCQVV
1612,,Silverado 3500,2003,3C3CFFAR8FT910815,1,E,QO3YOMMEG
1613,Subaru,Legacy,2011,WAUBFAFL2CN569130,3,A,KIK7NTKRG
1614,Dodge,Charger,1970,WBAKB8C58AC360607,8,A,VTY3RFKDA
1615,Chevrolet,Express 2500,2002,JN8AZ2KR7CT770608,7,A,YWMT9NNVQ
1616,Oldsmobile,88,1997,WAUNF78P77A221367,8,B,YKD8ILVGM
1617,Buick,Rendezvous,2004,2C3CDXBGXFH659278,5,E,AAVBFSRR3
1618,GMC,3500,1997,1GYS3JKJXFR174278,3,B,IH4P0NJDY
1619,Dodge,Magnum,2005,WAUVT58E15A991203,3,C,AFGRXTRH6
1620,Chevrolet,Tracker,2002,1FTWW3B59AE241088,9,A,DOG1O6JGM
1621,Pontiac,Fiero,1984,2FMHK6DC3AB936000,4,D,LR4OACLJV
1622,Infiniti,Q,1994,1G4HE57Y66U921097,3,A,DX0KE9NKP
1623,Lotus,Elise,2006,KMHGC4DE1AU680015,2,E,JPYK6MXLL
1624,Hyundai,Tucson,2012,1G4GE5E39CF540413,8,C,UWEECNKVJ
1625,Chevrolet,Uplander,2005,WBADN53472G482990,3,B,YWK2XCNU8
1626,Pontiac,6000,1991,JN8AZ1FY0CW481273,5,B,JYAOBGQPS
1627,Ford,,1987,JTDKN3DPXC3807566,2,D,JHMLRDGSI
1628,Chrysler,300C,2005,WAUKF68E35A846373,9,B,CDPRXBMMA
1629,BMW,3 Series,2010,WUATNAFG9EN252643,4,A,WRERBRDA9
1630,Oldsmobile,Silhouette,1998,WBA3F9C58DF449224,4,C,QHGQK0FP4
1631,Volvo,XC90,2013,1G6DN57S640105464,7,A,BZLTBYJFK
1632,Pontiac,Fiero,1988,1G6DE8EG7A0847870,6,D,SOFJNOHXC
1633,,NSX,2002,WAUSG78E26A184077,3,A,WW5183FX9
1634,Volkswagen,Quantum,1984,SCBGU3ZA3EC006237,7,A,JQJSHKLB4
1635,Ford,Mustang,1974,1G6DV5EP0D0635590,7,E,JLMNQXPL7
1636,Ford,Econoline E250,1998,5LMJJ2H56DE581602,6,D,WJBJO7BGS
1637,Chevrolet,S10,1998,SAJWA1CB8CL455225,9,A,JYAJEQWJO
1638,GMC,Sierra,2012,1N6AF0KY7FN922926,3,E,ILRA0BXDH
1639,Scion,tC,2013,1N6AF0KYXEN568544,3,A,SXRDZBIR2
1640,Nissan,Quest,2002,WAU3VAFR6CA140950,5,D,QL0RTJFPY
1641,GMC,Yukon,1994,1N6AA0CJ8EN265911,1,B,SYQYXXEL6
1642,Cadillac,STS-V,2009,5GAKRDKDXDJ238445,6,B,TOI1KSRT1
1643,Volkswagen,Routan,2009,WDDEJ8GB4AA487679,9,A,PK058KGAX
1644,Suzuki,Equator,2010,3GYFK12209G154686,6,C,AGNMC4KFF
1645,Saturn,L-Series,2002,1G6DZ67A790788784,8,D,OLXXDACE6
